CODIGO,SIGLA,UF,DESCRICAO,URL,SITUACAO
01,TJAC,AC,Tribunal de Justiça do Acre,api_publica_tjac,1
02,TJAL,AL,Tribunal de Justiça de Alagoas,api_publica_tjal,1
04,TJAM,AM,Tribunal de Justiça do Amazonas,api_publica_tjam,1
03,TJAP,AP,Tribunal de Justiça do Amapá,api_publica_tjap,1
05,TJBA,BA,Tribunal de Justiça da Bahia,api_publica_tjba,1
06,TJCE,CE,Tribunal de Justiça do Ceará,api_publica_tjce,1
07,TJDFT,DF,Tribunal de Justiça do Distrito Federal e Territórios,api_publica_tjdft,1
08,TJES,ES,Tribunal de Justiça do Espírito Santo,api_publica_tjes,1
09,TJGO,GO,Tribunal de Justiça do Goiás,api_publica_tjgo,1
10,TJMA,MA,Tribunal de Justiça do Maranhão,api_publica_tjma,1
13,TJMG,MG,Tribunal de Justiça do Minas Gerais,api_publica_tjmg,1
12,TJMS,MS,Tribunal de Justiça Mato Grosso de Sul,api_publica_tjms,1
11,TJMT,MT,Tribunal de Justiça de Mato Grosso,api_publica_tjmt,1
14,TJPA,PA,Tribunal de Justiça do Pará,api_publica_tjpa,1
15,TJPB,PB,Tribunal de Justiça da Paraíba,api_publica_tjpb,1
16,TJPR,PR,Tribunal de Justiça de Pernambuco,api_publica_tjpe,1
17,TJPE,PE,Tribunal de Justiça do Piauí,api_publica_tjpi,1
18,TJPI,PI,Tribunal de Justiça do Paraná,api_publica_tjpr,1
19,TJRJ,RJ,Tribunal de Justiça do Rio de Janeiro,api_publica_tjrj,1
20,TJRN,RN,Tribunal de Justiça do Rio Grande do Norte,api_publica_tjrn,1
21,TJRS,RS,Tribunal de Justiça de Rondônia,api_publica_tjro,1
22,TJRO,RO,Tribunal de Justiça de Roraima,api_publica_tjrr,1
23,TJRR,RR,Tribunal de Justiça do Rio Grande do Sul,api_publica_tjrs,1
24,TJSC,SC,Tribunal de Justiça de Santa Catarina,api_publica_tjsc,1
25,TJSE,SE,Tribunal de Justiça de Sergipe,api_publica_tjse,1
26,TJSP,SP,Tribunal de Justiça de São Paulo,api_publica_tjsp,1
27,TJTO,TO,Tribunal de Justiça do Tocantins,api_publica_tjto,1

