CODE,URL
01,api_publica_tjac
02,api_publica_tjal
04,api_publica_tjam
03,api_publica_tjap
05,api_publica_tjba
06,api_publica_tjce
07,api_publica_tjdft
08,api_publica_tjes
09,api_publica_tjgo
10,api_publica_tjma
11,api_publica_tjmt
12,api_publica_tjms
13,api_publica_tjmg
14,api_publica_tjpa
15,api_publica_tjpb
16,api_publica_tjpe
17,api_publica_tjpi
18,api_publica_tjpr
19,api_publica_tjrj
20,api_publica_tjrn
21,api_publica_tjro
22,api_publica_tjrr
23,api_publica_tjrs
24,api_publica_tjsc
25,api_publica_tjse
26,api_publica_tjsp
27,api_publica_tjto
